name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281256517 0 -57.291786 -44.994038 -147.89595 0 0.25373057 2.0431066 9.604546 0 -0.07436444 -0.12799238 -0.5419376 103.6338182388215
281256550 0 -57.637123 -44.79438 -147.93811 0 0.3049207 1.9877859 9.609976 0 -0.07410154 -0.13977835 -0.574141 104.37300863155696
281256583 0 -58.01896 -44.59194 -147.95972 0 0.34784818 1.9638646 9.62607 0 -0.06751333 -0.15348834 -0.602503 104.62484453644447
281256616 0 -58.435436 -44.40407 -147.9749 0 0.38777545 1.958957 9.662414 0 -0.05210889 -0.17067407 -0.6489134 104.63633974481763
281256649 0 -59.046772 -44.16625 -147.97665 0 0.44106564 1.9536798 9.688281 0 -0.039575554 -0.18528192 -0.6965382 104.56160381491935
281256682 0 -59.555286 -44.018494 -148.00743 0 0.5339583 1.930053 9.705364 0 -0.025170239 -0.19747742 -0.75025296 105.00062105401105
281256715 0 -60.08157 -43.905422 -148.02736 0 0.59571606 1.896504 9.7174015 0 -0.0054898025 -0.20955825 -0.82398826 105.52380671424487
281256748 0 -60.833267 -43.833267 -148.05798 0 0.64301705 1.8569949 9.729791 0 0.008921525 -0.21961933 -0.8785918 106.06713460234107
281256781 0 -61.4351 -43.7855 -148.07709 0 0.67577004 1.8176268 9.736793 0 0.024170078 -0.22933203 -0.9313559 106.60768260344503
281256814 0 -62.078156 -43.815872 -148.09732 0 0.68372166 1.7592921 9.748703 0 0.038782008 -0.23985201 -0.9813331 107.41930715232849
281256847 0 -62.737003 -43.887436 -148.14981 0 0.6743737 1.7233326 9.739859 0 0.05032664 -0.25482425 -1.0443206 107.7664446867052
281256880 0 -63.660904 -43.97648 -148.18565 0 0.64728916 1.6934507 9.720548 0 0.052216675 -0.2639854 -1.0834503 107.84562023956403
281256913 0 -64.37989 -44.083786 -148.19699 0 0.58321464 1.6536975 9.704666 0 0.050349224 -0.2788452 -1.1186239 108.01305549687771
281256946 0 -65.12358 -44.25633 -148.22755 0 0.5317018 1.6325318 9.681814 0 0.05155838 -0.29223517 -1.14968 107.99014021221228
281256979 0 -65.889404 -44.42833 -148.2246 0 0.46679246 1.6242294 9.645568 0 0.05495122 -0.2985814 -1.1787727 107.71007513548511
281257012 0 -66.90435 -44.681606 -148.21495 0 0.38601562 1.6294117 9.610483 0 0.04607163 -0.3051757 -1.1956753 107.2144902696873
